TransferSubject,TransferCourse,Transfer Title,TransferHours,TransferLevel,Connector,OU Subject,OU Course,OU Title,OUCredits,Gen. Ed.,Pass
PE,195,VARS MEN/WOMEN TRCK,1,Lower Division Course,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,1,,
PE,196,WGHT TRAINING/TRACK,1,Lower Division Course,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,1,,
PHIL,101,INTRO PHILOSOPHY,3,Lower Division Course,,PHIL,1013,INTRODUCTION TO PHILOSOPHY,3,Gen Ed-Western Culture,
PHIL,202,ETHICS,3,LOWER DIVISION,,PHIL,1999,LOWER DIVISION TRANSFER CREDIT,3,,
PHY,213,GENERAL PHYSICS,4,Lower Division Course,,PHYS,2414,GENERAL PHYSICS-LIFE SCIENCES,3,Gen Ed-Natural Science,
PHY,213,GENERAL PHYSICS,4,Lower Division Course,AND,PHYS,1311,GENERAL PHYSICS LAB I,1,Gen Ed-Natural Science w/lab,
PHY,214,GEN PHYS,4,Lower Division Course,,PHYS,2424,GENERAL PHYSICS-LIFE SCIENCES,3,,
PHY,214,GEN PHYS,4,Lower Division Course,AND,PHYS,1321,GENERAL PHYSICS LAB II,1,Gen Ed-Natural Science w/lab,
PHY,223,PHY/SCIENT/ENGR,5,Lower Division Course,,PHYS,2514,GENERAL PHYSICS-ENGR/SCIENCES,4,Gen Ed-Natural Science,
PHY,223,PHY/SCIENT/ENGR,5,Lower Division Course,AND,PHYS,1311,GENERAL PHYSICS LAB I,1,Gen Ed-Natural Science w/lab,
PHY,224,PHY/SCIENT/ENGR,5,Lower Division Course,,PHYS,2524,GENERAL PHYSICS-ENGR/SCIENCES,4,,
PHY,224,PHY/SCIENT/ENGR,5,Lower Division Course,AND,PHYS,1321,GENERAL PHYSICS LAB II,1,Gen Ed-Natural Science w/lab,
PHYA,119,YOGA,1,LOWER DIVISION,,HES,1999,LOWER DIVISION TRANSFER CREDIT,1,,
PHYA,153,ACTIVITY BY CONTRACT,1,LOWER DIVISION,,HES,1999,LOWER DIVISION TRANSFER CREDIT,1,,
PHYA,175,BASKETBALL,1,LOWER DIVISION,,HES,1999,LOWER DIVISION TRANSFER CREDIT,1,,
PHYA,176,BASKETBALL 2,1,LOWER DIVISION,,HES,1999,LOWER DIVISION TRANSFER CREDIT,1,,
PHYA,177,WEIGHT TRAINING,1,LOWER DIVISION,,HES,1121,BEGINNING WEIGHT TRAINING,1,,
PHYA,178,WEIGHT TRAINING II,1,LOWER DIVISION,,HES,1999,LOWER DIVISION TRANSFER CREDIT,1,,
PHYA,199,COACHES' CLINIC,2,LOWER DIVISION,,HES,1999,LOWER DIVISION TRANSFER CREDIT,2,,
PHYE,105,WALKING FOR FITNESS,1,Lower Division Course,,HES,1999,LOWER DIVISION TRANSFER CREDIT,1,,
PHYE,115,STRETCH/STRENGTH,1,Lower Division Course,,HES,1999,LOWER DIVISION TRANSFER CREDIT,1,,
PHYE,116,ACTIVITY BY CONTRCT,1,Lower Division Course,,HES,1999,LOWER DIVISION TRANSFER CREDIT,1,,
PHYE,1161,ACTIVITY BY CONTRCT,1,Lower Division Course,,HES,1999,LOWER DIVISION TRANSFER CREDIT,1,,
PHYE,117,BEGINNING GOLF,1,Lower Division Course,,HES,1361,BEGINNING GOLF,1,,
PHYE,118,AEROBICS WGHT TRNG,1,Lower Division Course,,HES,1999,LOWER DIVISION TRANSFER CREDIT,1,,
PHYE,120,INTERMED GROUP FIT,1,Lower Division Course,,HES,1999,LOWER DIVISION TRANSFER CREDIT,1,,
PHYE,134,YOGA,1,Lower Division Course,,HES,1999,LOWER DIVISION TRANSFER CREDIT,1,,
PHYE,138,BEGIN RACQUETBALL,1,Lower Division Course,,HES,1661,BEGINNING RACQUETBALL,1,,
PHYE,139,INTRO TO WEIGHT MGT,1,LOWER DIVISION,,HES,1999,LOWER DIVISION TRANSFER CREDIT,1,,
PHYE,150,FIRST AID & CPR,2,Lower Division Course,,HES,2212,FIRST AID,2,,
PHYE,155,HEALTH & WELLNESS,3,Lower Division Course,,HES,2913,PERSONAL HEALTH,3,,
PHYE,166,SPORTS NUTRITION,1,LOWER DIVISION,,HES,1999,LOWER DIVISION TRANSFER CREDIT,1,,
PHYE,179,BASKETBALL FUNDAMEN,1,Lower Division Course,,HES,1921,BASKETBALL,1,,
PHYE,180,BASKETBALL FOR MEN,1,Lower Division Course,,HES,1999,LOWER DIVISION TRANSFER CREDIT,1,,
PHYE,181,"BSKTBL,WEIGHT TRAIN",1,Lower Division Course,,HES,1999,LOWER DIVISION TRANSFER CREDIT,1,,
PHYE,192,VOLLEYBALL,1,Lower Division Course,,HES,1981,VOLLEYBALL,1,,
PHYE,193,VOLLEYBALL WEIGHT,1,Lower Division Course,,HES,1999,LOWER DIVISION TRANSFER CREDIT,1,,
PHYE,199A,SPORTS MEDICINE,1,,,HES,1999,LOWER DIVISION TRANSFER CREDIT,1,,
PHYE,199B,ATHLETIC WEIGHTS,1,,,HES,1999,LOWER DIVISION TRANSFER CREDIT,1,,
PHYE,199C,ATHLETIC TRNG/CONDT,1,,,HES,1999,LOWER DIVISION TRANSFER CREDIT,1,,
PHYE,199D,EVENT PLANNING & MGT,3,LOWER DIVISION,,HES,1999,LOWER DIVISION TRANSFER CREDIT,3,,
PHYE,199E,COACHING BASKETBALL,2,LOWER DIVISION,,HES,1999,LOWER DIVISION TRANSFER CREDIT,2,,
PHYE,215,TECH-CAMP ORGANIZA,3,Lower Division Course,,HES,1999,LOWER DIVISION TRANSFER CREDIT,3,,
PHYE,221,TRNG & TAP TECH,1,Lower Division Course,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,1,,
PHYE,280,ADV BASKETBALL-MEN,1,Lower Division Course,,HES,1999,LOWER DIVISION TRANSFER CREDIT,1,,
PHYE,281,"ADV BSKBL,WEIGHT TR",1,Lower Division Course,,HES,1999,LOWER DIVISION TRANSFER CREDIT,1,,
PHYE,292,ADV VOLLEYBALL,1,Lower Division Course,,HES,1999,LOWER DIVISION TRANSFER CREDIT,1,,
PHYE,293,ADV VOLLEYBALL/WIEG,1,Lower Division Course,,HES,1999,LOWER DIVISION TRANSFER CREDIT,1,,
PHYS,100,PHYSICS,4,LOWER DIVISION,,PHYS,1999,LOWER DIVISION TRANSFER CREDIT,4,,
PHYS,101,GENERAL ASTRONOMY,4,Lower Division Course,,ASTR,1514,ASTRONOMY: EXPL UNIV WITH LAB,4,Gen Ed-Natural Science w/lab,
PHYS,101,GENERAL ASTRONOMY,4,Lower Division Course,,ASTR,1514,ASTRONOMY: EXPL UNIV WITH LAB,4,Gen Ed-Natural Science w/lab,
PHYS,101L,GENERAL ASTRONOMY,0,Lower Division Course,,ASTR,1514,ASTRONOMY: EXPL UNIV WITH LAB,0,Gen Ed-Natural Science w/lab,
PHYS,111,GEN PHYS I W/LAB,4,Lower Division Course,,PHYS,2414,GENERAL PHYSICS-LIFE SCIENCES,3,Gen Ed-Natural Science,
PHYS,111,GEN PHYS I W/LAB,4,Lower Division Course,AND,PHYS,1311,GENERAL PHYSICS LAB I,1,Gen Ed-Natural Science w/lab,
PHYS,112,GEN PHYSICS 2 W/LAB,4,Lower Division Course,,PHYS,2424,GENERAL PHYSICS-LIFE SCIENCES,3,,
PHYS,112,GEN PHYSICS 2 W/LAB,4,Lower Division Course,AND,PHYS,1321,GENERAL PHYSICS LAB II,1,Gen Ed-Natural Science w/lab,
PHYS,211,PHYS SCI/ENGR,5,LOWER DIVISION,,PHYS,2514,GENERAL PHYSICS-ENGR/SCIENCES,4,Gen Ed-Natural Science,
PHYS,211,PHYS SCI/ENGR,5,LOWER DIVISION,AND,PHYS,1311,GENERAL PHYSICS LAB I,1,Gen Ed-Natural Science w/lab,
POLS,101,AMER NATL GOVERNMNT,3,Lower Division Course,,P SC,1113,AMERICAN FEDERAL GOVERNMENT,3,Gen Ed-American Government,
POLS,1011,INTRO POL SCI,3,Lower Division Course,,P SC,1113,AMERICAN FEDERAL GOVERNMENT,3,Gen Ed-American Government,
POLS,102,INTRO POLITCAL SCIENCE,3,LOWER DIVISION,,P SC,1113,AMERICAN FEDERAL GOVERNMENT,3,Gen Ed-American Government,
POLS,202,AMER STATE & LOCAL GOVT,3,LOWER DIV,,P SC,1999,LOWER DIVISION TRANSFER CREDIT,3,,
POLS,205,GOVERNMENT RESEARCH,3,Lower Division Course,,P SC,1999,LOWER DIVISION TRANSFER CREDIT,3,,
PSCI,101A,GOV'T BY CONSENT,Variable Credit,,,P SC,1113,AMERICAN FEDERAL GOVERNMENT,3,Gen Ed-American Government,
PSCI,101B,AMER NATION GOV,3,,,P SC,1113,AMERICAN FEDERAL GOVERNMENT,3,Gen Ed-American Government,
PSCI,221,INTRO-INTERNATIONAL REALTIONS,3,LOWER DIVISION,,P SC,2503,GLOBAL POLITICS,3,,
PSCI,293,LEGISLATIVE INTRNSP,9,Lower Division Course,,P SC,1999,LOWER DIVISION TRANSFER CREDIT,9,,
PSRE,101,REAL ESTATE ESSENTIALS,3,LOWER DIVISION,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,3,,
PSRE,112,REAL ESTATE PRACTICES,3,LOWER DIVISION,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,3,,
PSYC,101,GENERAL PSYCHOLOGY,3,Lower Division Course,,PSY,1113,ELEMENTS OF PSYCHOLOGY,3,Gen Ed-Social Science,
PSYC,201,CHILD PSYCHOLOGY,3,Lower Division Course,,PSY,1999,LOWER DIVISION TRANSFER CREDIT,3,,
RCON,101,CONSTRUCTION TOOLS & SAFETY,1,LOWER DIVISION,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,1,,
RE,101,REAL ESTATE ESSNTLS,3,Lower Division Course,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,3,,
RE,102,REAL ESTATE LAW,2,Lower Division Course,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,2,,
RE,103,REAL ESTATE FINANCE,2,Lower Division Course,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,2,,
RE,105,REAL ESTATE APPRAIS,2,Lower Division Course,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,2,,
RE,112,REAL ESTATE PRACT,3,Lower Division Course,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,3,,
READ,015,BASIC READING,3,Lower Division Course,,EDRG,0112,READING IMPROVEMENT,2,,
READ,015,BASIC READING,3,Lower Division Course,AND,TRF,0999,REMEDIAL TRANSFER CREDIT,1,,
READ,122,ENHANCED READ EFFIC,1,Lower Division Course,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,1,,
SIGL,101,AMER SIGN LANG I,4,Lower Division Course,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,4,Gen Ed-Foreign Language,
SOC,101,INTRO TO SOCIOLOGY,3,LOWER DIVISION,,SOC,1113,INTRODUCTION TO SOCIOLOGY,3,Gen Ed-Social Science,
SOCS,199,CIVIL LIBERTIES & THE ARTS,1,LOWER DIVISION,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,1,,
SOCY,101,INTRO SOCIOLOGY,3,Lower Division Course,,SOC,1113,INTRODUCTION TO SOCIOLOGY,3,Gen Ed-Social Science,
SPAN,101,ELEM SPANISH,4,Lower Division Course,,SPAN,1115,BEGINNING SPANISH,4,Gen Ed-Foreign Language,
SPAN,102,ELEM SPANISH II,4,LOWER DIVISION,,SPAN,1225,BEGINNING SPANISH (CONTINUED),4,Gen Ed-Foreign Language,
SPCH,101,FUNDMNTLS OF SPEECH,2,Lower Division Course,,COMM,2613,PUBLIC SPEAKING,2,Gen Ed-Communications,
SS,010,BEGINNING ALGEBRA,3,Lower Division Course,,TRF,0999,REMEDIAL TRANSFER CREDIT,3,,
SS,011,BASIC ENGLISH,2,Lower Division Course,,TRF,0999,REMEDIAL TRANSFER CREDIT,2,,
SS,020,INTERMED ALGEBRA,4,Lower Division Course,,MATH,0999,REMEDIAL TRANSFER CREDIT,4,,
SS,023,DEVELOP COMPOSITION,3,Lower Division Course,,ENGL,0113,INTRO TO COLLEGE WRITING,3,,
SS,027,ESL-DEV READ,3,Lower Division Course,,TRF,0999,REMEDIAL TRANSFER CREDIT,3,,
SS,031,READING FUNDAMENTLS,1,Lower Division Course,,TRF,0999,REMEDIAL TRANSFER CREDIT,1,,
SS,070,SPELL DEVELOPMENT,2,Lower Division Course,,TRF,0999,REMEDIAL TRANSFER CREDIT,2,,
SS,103,ESL-LEVEL II WRITE/,3,Lower Division Course,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,3,,
SS,104,ESL-LEV III WRIT/RE,3,Lower Division Course,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,3,,
SS,105,ESL-LSTN/SPK COLL,2,Lower Division Course,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,2,,
STEM,199B,EDUC OPPORTUNITIES IN ST,3,LOWER DIVISION,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,3,,
STUS,101,COLL STUDY METHODS,2,LOWER DIVISION,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,2,,
TECT,110,OSHA & INDUSTRIAL SAFETY,1,LOWER DIVISION,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,1,,
THEA,101,THEATRE APPRECIATION,3,LOWER DIVISION,,DRAM,1713,UNDERSTANDING THEATRE,3,Gen Ed-Artistic Forms,
THEA,111,FUND OF ACTING,3,Lower Division Course,,DRAM,1503,ACTING FOR NON-MAJORS,3,,
THEA,130,STAGECRAFT,3,Lower Division Course,,DRAM,1124,STAGECRAFT,3,,
THEA,151,PLAY PRODUCTION,2,Lower Division Course,,DRAM,1999,LOWER DIVISION TRANSFER CREDIT,2,,
THEA,201,THEATRE HIST I,3,Lower Division Course,,DRAM,1999,LOWER DIVISION TRANSFER CREDIT,3,Gen Ed-Artistic Forms,
THEA,202,THEATRE HISTORY II,3,Lower Division Course,,DRAM,1999,LOWER DIVISION TRANSFER CREDIT,3,,
TREA,101,THEATRE APPRECIATION,3,LOWER DIVISION,,DRAM,1999,LOWER DIVISION TRANSFER CREDIT,3,,
WELL,100,WELL SNADBOX-DANC,1,LOWER DIVISION,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,1,,
WELL,101,LIFELONG WELLNESS I,1,LOWER DIVISION,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,1,,
