TransferSubject,TransferCourse,Transfer Title,TransferHours,TransferLevel,Connector,OU Subject,OU Course,OU Title,OUCredits,Gen. Ed.,Pass
CHEM,100,CHEMISTRY IN EVERYDAY LIFE,4,Lower Division Course,,CHEM,1999,LOWER DIVISION TRANSFER CREDIT,4,,
CHEM,101,CHEMISTRY INTRODUC,4,Lower Division Course,,CHEM,1999,LOWER DIVISION TRANSFER CREDIT,4,,
CHEM,111,PRIN OF CHEM,5,Lower Division Course,,CHEM,1315,GENERAL CHEMISTRY,5,Gen Ed-Natural Science w/lab,
CHEM,112,PRIN OF CHEMISTRY 2,5,Lower Division Course,,CHEM,1415,GENERAL CHEMISTRY (CONTINUED),5,Gen Ed-Natural Science w/lab,
CHEM,190,MATH SKILLS,1,Lower Division Course,,CHEM,1999,LOWER DIVISION TRANSFER CREDIT,1,,
CHEM,200,CHEMISTRY,3,Lower Division Course,,CHEM,1999,LOWER DIVISION TRANSFER CREDIT,3,,
CHEM,200I,INTERNSHIP,1,LOWER DIVISION,,CHEM,1999,LOWER DIVISION TRANSFER CREDIT,1,,
CHEM,253,QUANTITATIVE ANALY,5,Lower Division Course,,CHEM,3005,QUANTITATIVE ANALYSIS,5,,
CHEM,298,ORGANIC CHEM I W/LB,4,Lower Division Course,,CHEM,3053,ORGANIC CHEM I: BIOLOGICAL,3,,
CHEM,298,ORGANIC CHEM I W/LB,4,Lower Division Course,AND,CHEM,3152,ORGANIC CHEM LAB: BIOLOGICAL,1,,
CHEM,299,ORGANIC CHEM 2 W/LB,4,Lower Division Course,,CHEM,3153,ORGANIC CHEM II: BIOLOGICAL,3,,
CHEM,299,ORGANIC CHEM 2 W/LB,4,Lower Division Course,AND,CHEM,3152,ORGANIC CHEM LAB: BIOLOGICAL,1,,
CISA,000,COMPUTER LITERACY,0,Lower Division Course,,C S,1999,LOWER DIVISION TRANSFER CREDIT,0,,
CISA,101,COMPUTER LITERACY S,3,Lower Division Course,,C S,1999,LOWER DIVISION TRANSFER CREDIT,3,,
COMM,101,FUND OF ORAL COMM,3,Lower Division Course,,COMM,1113,PRINCIPLES OF COMMUNICATION,3,Gen Ed-Communications,
COMP,P199,USING PHOTOSHOP,1,Lower Division Course,,C S,1999,LOWER DIVISION TRANSFER CREDIT,1,,
CRIJ,101,INTRO TO CRIMINAL JUSTICE,3,Lower Division Course,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,3,,
CRIJ,103,INTRO LAW & JUSTICE,3,LOWER DIVISION,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,3,,
CRIJ,205,CONSTITUTNL RIGHTS OF INMATES,3,LOWER DIVISION,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,3,,
CRIJ,276,LAW OF ARREST,3,LOWER DIVISION,,TRF,1999,LOWER DIVISION TRANSFER CREDIT,3,,
